"ID","POP_Densit","Area_Tot_Cor","YearBuilt","Hage","TotalValua","NumberOfSt","TotalGross","yd","MEDIANAGE","medINC","perVAC","perMIN","perMAR","SaleYear","dur","Loc","stoCloc_at10","stoNloc_at10","stoCloc_at20","stoNloc_at20","stoCloc_at30","stoNloc_at30","stoCloc_at40","stoNloc_at40","stoCloc_at50","stoNloc_at50"
30,58,0.06,1963,51,166900,1,2544,0.0363654768,45,55781,0.875,0.046153846,0.571428571,2011,3,"Back",19946.7355888545,1339.79213329289,31052.8898147516,2314.63456632427,65118.7560990979,2986.84708462093,50082.9170964564,2456.86066820356,24145.5030218082,1185.67085636726
7,992,0.17,1980,34,293700,2,4103,0.15094094955,54,58148,1,0,0.666666667,2009,5,"Front",40389.1444012982,2244.67255419085,21909.137117258,1305.7364183656,17264.594956594,1079.40257805667,11652.1272005809,727.497992787963,NA,NA
7,992,0.17,1980,34,293700,2,4103,0.15094094955,54,58148,1,0,0.666666667,2009,5,"Back",45602.820072858,2789.4856606796,31830.6987677712,1746.63821281971,13983.179846125,805.800365107668,15397.0532900157,978.571519556311,8755.48413495172,570.404696616786
34,3126,0.06,1986,28,189700,1,2128,0.0402302416,37,74293,0.975609756,0.092436975,0.825,1998,16,"Front",36611.8535212483,2741.80857061866,22734.3713250807,1508.94563526619,4811.24606727021,284.104067940024,4180.97860448838,201.54703482266,NA,NA
34,3126,0.06,1986,28,189700,1,2128,0.0402302416,37,74293,0.975609756,0.092436975,0.825,1998,16,"Back",12001.1354262236,943.013650928789,16658.0169516923,1088.70106954312,5926.39295012512,324.847654041222,4594.9005407308,248.615629668427,3906.95161911818,171.72244610344
32,1289,0.09,1991,23,191800,1,2420,0.067517474,36,61154,0.994652406,0.038251366,0.698924731,2012,2,"Front",20926.9885881022,1619.23673152831,21997.8621403567,1614.77076038151,8355.79470314555,616.465990552818,2692.34840694131,166.66230254471,NA,NA
32,1289,0.09,1991,23,191800,1,2420,0.067517474,36,61154,0.994652406,0.038251366,0.698924731,2012,2,"Back",26103.5461618504,1946.97140535678,18334.9732248514,1308.92551997655,7294.91782525067,489.643660143097,3109.9979841737,255.330415486986,17991.2361369413,1259.75738609214
13,1613,0.1,1999,15,236500,2,3292,0.0847081662,47,65114,0.85,0,0.529411765,2011,3,"Front",20938.8877418464,1335.63364828097,10207.1652376051,689.321024136024,NA,NA,NA,NA,NA,NA
13,1613,0.1,1999,15,236500,2,3292,0.0847081662,47,65114,0.85,0,0.529411765,2011,3,"Back",22576.1084634312,1401.66000587261,15321.8102072442,1111.84478903783,14634.3402730853,806.141104434507,9060.42831365339,652.363808549053,4625.00969272867,454.39589793582
36,3269,0.08,1985,29,209300,1,2216,0.0594126952,45,30588,1,0.305555556,0.636363636,2003,11,"Front",37885.4433381835,2543.75578756757,27892.9189380589,1577.48761403749,15715.0924005015,792.71108290528,NA,NA,NA,NA
