"ID","Depth.Fraction","perC","perN","BD","stoC","stoN"
5,"10 to 20",0.0338662203055556,0.00125371483333333,1.15051119133333,38946.2001920471,1435.21585481749
5,"40 to 50",NA,NA,NA,NA,NA
5,"20 to 30",0.0364528898333333,0.00108687853333333,0.934707226333333,29343.4115670544,895.358547553496
5,"30 to 40",NA,NA,NA,NA,NA
11,"40 to 50",0.00765523933333333,0.000483115,1.050719458,8043.50892318028,507.61833095167
11,"10 to 20",0.0270901263055556,0.00189785272222222,0.951976691666667,26294.5851269874,1846.78635319752
11,"30 to 40",0.0122954443333333,0.000764972666666667,1.0205112635,11160.2871087019,673.481695098793
11,"0 to 10",0.0395651961111111,0.00292778677777778,0.747728406333333,29728.7992296948,2195.46980950289
11,"20 to 30",0.0155867468333333,0.00100063472222222,0.938873516,12613.4376394218,796.947880012017
33,"20 to 30",0.0276108533888889,0.00115310694444444,1.058272021,29210.3125034159,1220.35338592311
33,"40 to 50",0.0085470104,0.0005007378,1.42831880666667,12796.6626461107,749.709243451449
33,"30 to 40",0.0147507887777778,0.000742606888888889,1.16481416633333,16698.0672843274,847.666432800947
33,"10 to 20",0.0388367913333333,0.00176708377777778,0.942581237333333,36739.6071699748,1666.07330364181
33,"0 to 10",0.05801295125,0.00308236866666667,0.795849256333333,46248.4770996793,2456.48573739152
3,"0 to 10",0.0296620373611111,0.00232906547222222,0.724453678333333,21433.1937257394,1691.57799247669
3,"10 to 20",0.0186408393333333,0.00154437788888889,1.174732047,21804.3447076677,1816.45033599961
3,"30 to 40",NA,NA,NA,NA,NA
3,"40 to 50",NA,NA,2.124898756,NA,NA
3,"20 to 30",0.0107165871111111,0.000731980888888889,1.09558645366667,11669.9084652053,799.532278201577
29,"20 to 30",0.0136330136666667,0.000980750333333333,0.9363985025,9355.5614625422,673.079953749901
29,"10 to 20",0.0184530955555556,0.00138687711111111,0.925847127666667,13886.3587133849,1039.51485738805
29,"0 to 10",0.0379443015555556,0.00254400611111111,0.896903864,34110.8943506969,2280.0657785116
29,"40 to 50",0.01053839,0.000656134666666667,1.531121693,16135.5575382943,1004.62202166266
29,"30 to 40",0.006925615,0.000569513666666667,1.215814534,8420.26337388841,692.422993244965
30,"10 to 20",0.0219096208888889,0.00152053811111111,1.43655834,31244.8880875234,2205.75332809074
30,"20 to 30",0.0545298063333333,0.00258369841666667,1.08517082733333,58586.7746486158,2781.91448491618
30,"0 to 10",0.0301645136666667,0.001932436,0.833130779666667,25664.6169630526,1625.80260321033
30,"40 to 50",0.0258739305555556,0.00125459111111111,0.951063473333333,22648.5820107106,1119.36340082723
30,"30 to 40",0.0443990266666667,0.00219061522222222,1.023561495,44398.5546218118,2193.96479495809
7,"40 to 50",0.00520784566666667,0.000339282166666667,1.681210369,8755.48413495172,570.404696616786
7,"30 to 40",0.00850818877777778,0.000537026,1.75340398466667,14148.7445935374,894.880343966861
7,"20 to 30",0.00822325333333333,0.000489997888888889,1.79043252166667,15076.984882948,897.001102757337
7,"10 to 20",0.0192181547777778,0.00108337933333333,1.47479010466667,28523.5115509335,1599.67094800167
7,"0 to 10",0.048860091,0.0029276995,0.9238746585,43864.9281823381,2607.88129185002
