"ID","POP_Densit","Area_Tot_Cor","YearBuilt","Hage","TotalValua","NumberOfSt","TotalGross","yd","MEDIANAGE","medINC","perVAC","perMIN","perMAR","SaleYear","dur","Hard","Con","cabio","fiac","Cseqha","perHbio","Sand","Silt","Clay"
34,3126,0.06,1986,28,189700,1,2128,0.0402302416,37,74293,0.975609756,0.092436975,0.825,1998,16,2,0,1208.80820447662,"SAW",30047.2519279282,30047.2519279282,13.455,8.945,77.6
32,1289,0.09,1991,23,191800,1,2420,0.067517474,36,61154,0.994652406,0.038251366,0.698924731,2012,2,1,1,546.452613519515,"SAW",8093.49907728353,4046.74953864176,15.6216666666667,6.5,77.8783333333333
32,1289,0.09,1991,23,191800,1,2420,0.067517474,36,61154,0.994652406,0.038251366,0.698924731,2012,2,1,0,177.490389479694,"POL",2628.80672164504,2628.80672164504,15.6216666666667,6.5,77.8783333333333
12,1613,0.1,1999,15,236500,2,3292,0.0847081662,47,65114,0.85,0,0.529411765,2011,3,2,11,74.3861955121167,"SAP",878.146687020557,135.099490310855,21.165,2.165,76.6666666666667
12,1613,0.1,1999,15,236500,2,3292,0.0847081662,47,65114,0.85,0,0.529411765,2011,3,1,1,78.9579355432995,"POL",932.117162787778,466.058581393889,21.165,2.165,76.6666666666667
12,1613,0.1,1999,15,236500,2,3292,0.0847081662,47,65114,0.85,0,0.529411765,2011,3,2,0,938.02889110805,"SAW",11073.6536179206,11073.6536179206,21.165,2.165,76.6666666666667
36,3269,0.08,1985,29,209300,1,2216,0.0594126952,45,30588,1,0.305555556,0.636363636,2003,11,2,2,1231.63535109941,"SAW",20730.1713371759,10365.085668588,18.2566666666667,3.11,78.6333333333333
36,3269,0.08,1985,29,209300,1,2216,0.0594126952,45,30588,1,0.305555556,0.636363636,2003,11,0,16,121.318912949356,"SAP",2041.96952420626,0,18.2566666666667,3.11,78.6333333333333
36,3269,0.08,1985,29,209300,1,2216,0.0594126952,45,30588,1,0.305555556,0.636363636,2003,11,1,18,470.423001379272,"POL",7917.88690608454,416.730889793923,18.2566666666667,3.11,78.6333333333333
6,1212,0.11,1955,59,185900,1.5,280.195448,0.108264600152964,60,86538,1,0,0.2,2000,14,3,0,2608.41047805628,"SAW",24092.9211798772,24092.9211798772,86.6,8.88833333333333,4.51
6,1212,0.11,1955,59,185900,1.5,280.195448,0.108264600152964,60,86538,1,0,0.2,2000,14,5,2,41.2234079130493,"SAP",380.765345780671,271.975246986193,86.6,8.88833333333333,4.51
6,1212,0.11,1955,59,185900,1.5,280.195448,0.108264600152964,60,86538,1,0,0.2,2000,14,2,1,131.64059935369,"POL",1215.9154439004,810.610295933597,86.6,8.88833333333333,4.51
2,1123,0.15,1956,58,184300,1,240.804576,0.147762853247587,50,86538,0.981818182,0.031007752,0.555555556,2012,2,7,0,6130.75856945417,"SAW",41490.5264395622,41490.5264395622,77.868,14.666,7.464
2,1123,0.15,1956,58,184300,1,240.804576,0.147762853247587,50,86538,0.981818182,0.031007752,0.555555556,2012,2,0,2,8.23996569848585,"SAP",55.764798238426,0,77.868,14.666,7.464
2,1123,0.15,1956,58,184300,1,240.804576,0.147762853247587,50,86538,0.981818182,0.031007752,0.555555556,2012,2,1,0,63.1635880119615,"POL",427.465947115453,427.465947115453,77.868,14.666,7.464
14,393,0.21,1968,46,168100,1,160.536384,0.208508568831725,38,61250,0.947976879,0.02238806,0.542682927,1997,17,1,10,9879.95384264256,"SAW",47383.9223874588,4307.6293079508,81.665,10.555,7.775
14,393,0.21,1968,46,168100,1,160.536384,0.208508568831725,38,61250,0.947976879,0.02238806,0.542682927,1997,17,1,0,18.2520704018106,"SAP",87.5363084792012,87.5363084792012,81.665,10.555,7.775
14,393,0.21,1968,46,168100,1,160.536384,0.208508568831725,38,61250,0.947976879,0.02238806,0.542682927,1997,17,2,0,73.8504306211023,"POL",354.184151926642,354.184151926642,81.665,10.555,7.775
13,2067,0.32,1865,149,231900,1.75,383.782293,0.317962598493338,35,61313,0.9875,0.176744186,0.46835443,2004,10,2,0,622.733988380598,"SAW",1958.51333248443,1958.51333248443,80.755,14.445,4.8
13,2067,0.32,1865,149,231900,1.75,383.782293,0.317962598493338,35,61313,0.9875,0.176744186,0.46835443,2004,10,4,0,28.6449517662348,"SAP",90.0890604805992,90.0890604805992,80.755,14.445,4.8
13,2067,0.32,1865,149,231900,1.75,383.782293,0.317962598493338,35,61313,0.9875,0.176744186,0.46835443,2004,10,6,0,524.004701919034,"POL",1648.00735810445,1648.00735810445,80.755,14.445,4.8
9,1249,0.13,1920,94,232300,1.5,5074,0.0985740118666667,47,50116,0.727272727,0,0.375,1993,21,1,2,2170.14948568757,"SAW",22015.4323091056,7338.47743636854,17.445,3.89,78.6666666666667
19,1578,0.2,1939,75,187400,1.5,269.790312,0.198329044709618,44,62500,1,0.058823529,0.565217391,2005,9,1,0,135.972734063403,"SAW",685.591635166127,685.591635166127,75.2016666666667,18.3316666666667,6.465
19,1578,0.2,1939,75,187400,1.5,269.790312,0.198329044709618,44,62500,1,0.058823529,0.565217391,2005,9,3,0,26.9059021037237,"SAP",135.662944089293,135.662944089293,75.2016666666667,18.3316666666667,6.465
19,1578,0.2,1939,75,187400,1.5,269.790312,0.198329044709618,44,62500,1,0.058823529,0.565217391,2005,9,1,0,55.4527272251065,"POL",279.599628517836,279.599628517836,75.2016666666667,18.3316666666667,6.465
10,898,0.19,1987,27,286300,2,3815,0.17227875275,47,50455,0.962962963,0.119402985,0.615384615,2010,4,1,0,60.52445284874,"POL",351.316989951566,351.316989951566,17.3883333333333,5.00166666666667,77.6116666666667
10,898,0.19,1987,27,286300,2,3815,0.17227875275,47,50455,0.962962963,0.119402985,0.615384615,2010,4,3,0,969.997636578597,"SAW",5630.39621018267,5630.39621018267,17.3883333333333,5.00166666666667,77.6116666666667
20,2468,0.11,1910,104,190100,1.5,395.395168,0.107551106847153,39,71250,0.916666667,0.267857143,0.545454545,2014,0,0,2,28.7157211812108,"POL",266.996054461999,0,75,15.0016666666667,9.99833333333333
20,2468,0.11,1910,104,190100,1.5,395.395168,0.107551106847153,39,71250,0.916666667,0.267857143,0.545454545,2014,0,1,0,1685.32051181445,"SAW",15669.9504191022,15669.9504191022,75,15.0016666666667,9.99833333333333
28,2835,0.11,1954,60,200000,1,292.087032,0.10728642384661,49,74038,1,0.055555556,0.785714286,2006,8,4,4,54.8861426482982,"SAP",511.585163158855,255.792581579427,72.0216666666667,19.445,8.53333333333333
28,2835,0.11,1954,60,200000,1,292.087032,0.10728642384661,49,74038,1,0.055555556,0.785714286,2006,8,4,1,230.359861520615,"POL",2147.14829016917,1717.71863213534,72.0216666666667,19.445,8.53333333333333
28,2835,0.11,1954,60,200000,1,292.087032,0.10728642384661,49,74038,1,0.055555556,0.785714286,2006,8,5,0,3312.58006625099,"SAW",30876.0414177571,30876.0414177571,72.0216666666667,19.445,8.53333333333333
35,985,0.1,1961,53,174100,1,2652,0.0753621244,34,74293,0.990825688,0.077777778,0.759259259,NA,NA,5,1,548.791821683377,"POL",7282.06411446884,6068.38676205737,15.1783333333333,6.39,78.4333333333333
35,985,0.1,1961,53,174100,1,2652,0.0753621244,34,74293,0.990825688,0.077777778,0.759259259,NA,NA,5,28,163.05023821135,"SAP",2163.55681994748,327.811639385982,15.1783333333333,6.39,78.4333333333333
35,985,0.1,1961,53,174100,1,2652,0.0753621244,34,74293,0.990825688,0.077777778,0.759259259,NA,NA,4,3,9455.80240354437,"SAW",125471.547927123,71698.0273869272,15.1783333333333,6.39,78.4333333333333
31,3683,0.13,1936,78,203400,1.75,310.853438,0.128349759031399,42,55781,1,0,0.722222222,2002,12,1,0,1113.6230835255,"SAW",8676.47194610678,8676.47194610678,66.31,26.6666666666667,7.02
26,174,0.8,2006,8,364300,1,4564,0.7575990708,79,59172,0.743944637,0.08,0.255813953,2006,8,2,1,123.353598014293,"POL",162.821738791252,108.547825860835,15.21,6.55666666666667,78.235
26,174,0.8,2006,8,364300,1,4564,0.7575990708,79,59172,0.743944637,0.08,0.255813953,2006,8,3,2,27.0139013755539,"SAP",35.6572525188397,21.3943515113038,15.21,6.55666666666667,78.235
